EmployeeID,Name,Email,Job Description,Department Name,Manager Name
198,Donald Oconnell,DOCONNEL@abc.com,Shipping Clerk,L&T,Kevin Mourgos
199,Douglas Grant,DGRANT@abc.com,Shipping Clerk,L&T,Kevin Mourgos
200,Jennifer Whalen,JWHALEN@abc.com,Administration Assistant,HR,Neena Kochhar
201,Michael Hartstein,MHARTSTE@abc.com,Marketing Manager,Sales,Steven King
202,Pat Fay,PFAY@abc.com,Marketing Representative,Sales,Michael Hartstein
203,Susan Mavris,SMAVRIS@abc.com,Human Resources Representative,Admin,Neena Kochhar
204,Hermann Baer,HBAER@abc.com,Public Relations Representative,IT,Neena Kochhar
205,Shelley Higgins,SHIGGINS@abc.com,Accounting Manager,vendor,Neena Kochhar
206,William Gietz,WGIETZ@abc.com,Public Accountant,vendor,Shelley Higgins
100,Steven King,SKING@abc.com,President,QE,Steven King
101,Neena Kochhar,NKOCHHAR@abc.com,Administration Vice President,QE,Steven King
102,Lex De Haan,LDEHAAN@abc.com,Administration Vice President,QE,Steven King
103,Alexander Hunold,AHUNOLD@abc.com,Programmer,Training,Lex De Haan
104,Bruce Ernst,BERNST@abc.com,Programmer,Training,Alexander Hunold
105,David Austin,DAUSTIN@abc.com,Programmer,Training,Alexander Hunold
106,Valli Pataballa,VPATABAL@abc.com,Programmer,Training,Alexander Hunold
107,Diana Lorentz,DLORENTZ@abc.com,Programmer,Training,Alexander Hunold
108,Nancy Greenberg,NGREENBE@abc.com,Finance Manager,Accounts,Neena Kochhar
109,Daniel Faviet,DFAVIET@abc.com,Accountant,Accounts,Nancy Greenberg
110,John Chen,JCHEN@abc.com,Accountant,Accounts,Nancy Greenberg
111,Ismael Sciarra,ISCIARRA@abc.com,Accountant,Accounts,Nancy Greenberg
112,Jose Manuel Urman,JMURMAN@abc.com,Accountant,Accounts,Nancy Greenberg
113,Luis Popp,LPOPP@abc.com,Accountant,Accounts,Nancy Greenberg
114,Den Raphaely,DRAPHEAL@abc.com,Purchasing Manager,Purchase,Steven King
115,Alexander Khoo,AKHOO@abc.com,Purchasing Clerk,Purchase,Den Raphaely
116,Shelli Baida,SBAIDA@abc.com,Purchasing Clerk,Purchase,Den Raphaely
117,Sigal Tobias,STOBIAS@abc.com,Purchasing Clerk,Purchase,Den Raphaely
118,Guy Himuro,GHIMURO@abc.com,Purchasing Clerk,Purchase,Den Raphaely
119,Karen Colmenares,KCOLMENA@abc.com,Purchasing Clerk,Purchase,Den Raphaely
120,Matthew Weiss,MWEISS@abc.com,Stock Manager,L&T,Steven King
121,Adam Fripp,AFRIPP@abc.com,Stock Manager,L&T,Steven King
122,Payam Kaufling,PKAUFLIN@abc.com,Stock Manager,L&T,Steven King
123,Shanta Vollman,SVOLLMAN@abc.com,Stock Manager,L&T,Steven King
124,Kevin Mourgos,KMOURGOS@abc.com,Stock Manager,L&T,Steven King
125,Julia Nayer,JNAYER@abc.com,Stock Clerk,L&T,Matthew Weiss
126,Irene Mikkilineni,IMIKKILI@abc.com,Stock Clerk,L&T,Matthew Weiss
127,James Landry,JLANDRY@abc.com,Stock Clerk,L&T,Matthew Weiss
128,Steven Markle,-,Stock Clerk,L&T,Matthew Weiss
129,Laura Bissot,-,Stock Clerk,L&T,Adam Fripp
130,Mozhe Atkinson,MATKINSO@gmail.com,Stock Clerk,L&T,Adam Fripp
131,James Marlow,JAMRLOW@abc.com,Stock Clerk,L&T,Adam Fripp
132,TJ Olson,TJOLSON@abc.com,Stock Clerk,L&T,Adam Fripp
133,Jason Mallin,JMALLIN@abc.com,Stock Clerk,L&T,Payam Kaufling
134,Michael Rogers,MROGERS@abc.com,Stock Clerk,L&T,Payam Kaufling
135,Ki Gee,KGEE@abc.com,Stock Clerk,L&T,Payam Kaufling
136,Hazel Philtanker,HPHILTAN@abc.com,Stock Clerk,L&T,Payam Kaufling
137,Renske Ladwig,RLADWIG@abc.com,Stock Clerk,L&T,Shanta Vollman
138,Stephen Stiles,SSTILES@abc.com,Stock Clerk,L&T,Shanta Vollman
139,John Seo,JSEO@abc.com,Stock Clerk,L&T,Shanta Vollman
140,Joshua Patel,JPATEL@abc.com,Stock Clerk,L&T,Shanta Vollman
1001,Sharma,-,null,null,Sharma
